"entryID","submissionID","submitterID","marker","referenceDB","pipeline","sampleID","PC1","PC2"
"chrisHempel_12S_12SAllFishDez2023_ApscaleModified_B","chrisHempel_12S_12SAllFishDez2023_ApscaleModified","chrisHempel","12S","12SAllFishDez2023","ApscaleModified","B",0.314053281898677,-0.273458126361141
"chrisHempel_12S_12SAllFishDez2023_ApscaleModified_C","chrisHempel_12S_12SAllFishDez2023_ApscaleModified","chrisHempel","12S","12SAllFishDez2023","ApscaleModified","C",0.314312459485514,-0.273864437583564
"geraldinePascal_12S_12SAllFishDez2023_frogsDADA2_A","geraldinePascal_12S_12SAllFishDez2023_frogsDADA2","geraldinePascal","12S","12SAllFishDez2023","frogsDADA2","A",-0.257005440588246,-0.0347656758717642
"geraldinePascal_12S_12SAllFishDez2023_frogsDADA2_B","geraldinePascal_12S_12SAllFishDez2023_frogsDADA2","geraldinePascal","12S","12SAllFishDez2023","frogsDADA2","B",-0.257525462352473,-0.00567870597700744
"geraldinePascal_12S_12SAllFishDez2023_frogsDADA2_C","geraldinePascal_12S_12SAllFishDez2023_frogsDADA2","geraldinePascal","12S","12SAllFishDez2023","frogsDADA2","C",-0.264551730968372,-0.0211348305859113
"geraldinePascal_12S_12SAllFishDez2023_frogsSWARM_A","geraldinePascal_12S_12SAllFishDez2023_frogsSWARM","geraldinePascal","12S","12SAllFishDez2023","frogsSWARM","A",-0.260132288475968,-0.0338405973084216
"geraldinePascal_12S_12SAllFishDez2023_frogsSWARM_B","geraldinePascal_12S_12SAllFishDez2023_frogsSWARM","geraldinePascal","12S","12SAllFishDez2023","frogsSWARM","B",-0.258568451203699,-0.00406287895660528
"geraldinePascal_12S_12SAllFishDez2023_frogsSWARM_C","geraldinePascal_12S_12SAllFishDez2023_frogsSWARM","geraldinePascal","12S","12SAllFishDez2023","frogsSWARM","C",-0.267552161044496,-0.0184918378333391
"lukeThompson_12S_12SAllFishDez2023_tourmaline_A","lukeThompson_12S_12SAllFishDez2023_tourmaline","lukeThompson","12S","12SAllFishDez2023","tourmaline","A",0.0975249179115287,-0.142757024566926
"lukeThompson_12S_12SAllFishDez2023_tourmaline_B","lukeThompson_12S_12SAllFishDez2023_tourmaline","lukeThompson","12S","12SAllFishDez2023","tourmaline","B",0.098111988693676,-0.119452362937845
"lukeThompson_12S_12SAllFishDez2023_tourmaline_C","lukeThompson_12S_12SAllFishDez2023_tourmaline","lukeThompson","12S","12SAllFishDez2023","tourmaline","C",0.0828887910457973,-0.11639973295498
"AlejandroAbdala_16S_16SAllFishDez2023_cascabel_A","AlejandroAbdala_16S_16SAllFishDez2023_cascabel","AlejandroAbdala","16S","16SAllFishDez2023","cascabel","A",-0.200399231238601,0.172305493481542
"AlejandroAbdala_16S_16SAllFishDez2023_cascabel_B","AlejandroAbdala_16S_16SAllFishDez2023_cascabel","AlejandroAbdala","16S","16SAllFishDez2023","cascabel","B",-0.219369879318881,0.134707373835559
"AlejandroAbdala_16S_16SAllFishDez2023_cascabel_C","AlejandroAbdala_16S_16SAllFishDez2023_cascabel","AlejandroAbdala","16S","16SAllFishDez2023","cascabel","C",-0.21285080795623,0.167155025605674
"AudreyBourret_16S_NCBI_MLI_A","AudreyBourret_16S_NCBI_MLI","AudreyBourret","16S","NCBI","MLI","A",-0.244638813767536,0.170390546149147
"AudreyBourret_16S_NCBI_MLI_B","AudreyBourret_16S_NCBI_MLI","AudreyBourret","16S","NCBI","MLI","B",-0.279160360268759,0.107274576269675
"AudreyBourret_16S_NCBI_MLI_C","AudreyBourret_16S_NCBI_MLI","AudreyBourret","16S","NCBI","MLI","C",-0.250164288512999,0.170961480199459
"ElisaBanchi_16S_16SAllFishDez2023_QIIME2v.2023.5_A","ElisaBanchi_16S_16SAllFishDez2023_QIIME2v.2023.5","ElisaBanchi","16S","16SAllFishDez2023","QIIME2v.2023.5","A",0.355888175942009,-0.0525392958747876
